Year,Australia,Brazil,China,Germany,India,Israel,Japan,Russian Federation,South Africa,United Kingdom,United States of America,,,,,,,,,,,,,,,,,,,
2010,405.1033,440.269,8616.6527,832.541,1676.495,68.2869,1215.0581,1626.1876,462.8069,511.9046,5681.392,,,,,,,,,,,,,,,,,,,
2011,403.8288,462.58,9528.5557,808.9115,1778.4725,68.5947,1265.0349,1679.2784,465.7747,469.7133,5546.629,,,,,,,,,,Year,2010,2011,2012,2013,2014,2015,2016,2017,2018
2012,406.1509,498.309,9779.2816,813.693,1962.5943,74.7848,1306.1825,1694.5764,458.9542,487.4768,5345.4543,,,,,,,,,,Australia,405.1033,403.8288,406.1509,397.8875,393.9529,401.7931,411.2643,414.3583,416.2838
2013,397.8875,532.418,9956.3083,831.2077,2037.4155,63.0953,1315.5687,1632.7164,458.6282,477.6113,5480.9261,,,,,,,,,,Brazil,440.269,462.58,498.309,532.418,557.901,529.353,492.748,497.4127,477.1021
2014,393.9529,557.901,9998.6213,792.2554,2187.343,60.2823,1264.4133,1631.6622,471.866,438.8071,5528.8713,,,,,,,,,,China,8616.6527,9528.5557,9779.2816,9956.3083,9998.6213,9866.9043,9764.9797,10011.1071,10353.877
2015,401.7931,529.353,9866.9043,795.5566,2270.7662,62.9391,1223.6052,1629.7132,446.221,422.4608,5376.5779,,,,,,,,,,Germany,832.541,808.9115,813.693,831.2077,792.2554,795.5566,800.3398,785.6165,754.4084
2016,411.2643,492.748,9764.9797,800.3398,2383.816,61.1607,1203.8882,1624.7563,456.9729,399.4301,5251.7576,,,,,,,,,,India,1676.495,1778.4725,1962.5943,2037.4155,2187.343,2270.7662,2383.816,2434.8679,2600.4465
2017,414.3583,497.4127,10011.1071,785.6165,2434.8679,58.8416,1188.3589,1654.154,439.3801,387.3671,5210.9576,,,,,,,,,,Israel,68.2869,68.5947,74.7848,63.0953,60.2823,62.9391,61.1607,58.8416,60.2569
2018,416.2838,477.1021,10353.877,754.4084,2600.4465,60.2569,1143.4119,1700.4528,435.2372,379.7298,5376.6572,,,,,,,,,,Japan,1215.0581,1265.0349,1306.1825,1315.5687,1264.4133,1223.6052,1203.8882,1188.3589,1143.4119
,,,,,,,,,,,,,,,,,,,,,Russian Federation,1626.1876,1679.2784,1694.5764,1632.7164,1631.6622,1629.7132,1624.7563,1654.154,1700.4528
,,,,,,,,,,,,,,,,,,,,,South Africa,462.8069,465.7747,458.9542,458.6282,471.866,446.221,456.9729,439.3801,435.2372
,,,,,,,,,,,,,,,,,,,,,United Kingdom,511.9046,469.7133,487.4768,477.6113,438.8071,422.4608,399.4301,387.3671,379.7298
,,,,,,,,,,,,,,,,,,,,,United States of America,5681.392,5546.629,5345.4543,5480.9261,5528.8713,5376.5779,5251.7576,5210.9576,5376.6572
,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
